ID,Name,Node_Type,Category,Publication Date,Author_Location,Notes
P001,Plain Truth by James Chalmers,Pamphlet,,,,
P002,Common Sense by Thomas Paine,Pamphlet,,,,
S001,The Spirit of Laws by Montesquieu,Source,Enlightenment Text,,,
S002,"Political Disquisitions: Or, An Enquiry Into Public Errors, Defects, and Abuses by James Burgh",Source,Enlightenment Text,,,
S003,The Social Contract by Jean-Jacques Rousseau,Source,Enlightenment Text,,,
S004,"Essays, Moral, Political, and Literary by David Hume",Source,Enlightenment Text,,,
S006,"Unspecified work by Maximilien de Béthune, Duke of Sully",Source,,,,
S007,Unspecified work by David Hume,Source,Enlightenment Text,,,
S008,The Civil Wars by Appiam,Source,Classic Text,,,
S011,A Treatise on Virtues and Rewards by Giacinto Dragonetti,Source,Enlightenment Text,,,
S012,The Bible,Source,Religious Text,,,
P003,"A candid examination of the mutual claims of Great-Britain, and the colonies: with a plan of accomodation, on constitutional principles by James Galloway",Pamphlet,,1775,America,
S015,De Re Publica by Cicero,Source,Classic Text,,,
S016,Two Treatises of Government by John Locke,Source,Enlightenment Text,,,
S017,The Principles of Natural and Polical Law by Jean Jacques Burlamaqui ,Source,Enlightenment Text,,,
S018,"The Britannic constitution: or, The fundamental form of government in Britain. Demonstrating, the original contract entred into by King and People... by Roger Acherley",Source,Legal Treatise,,,
S019,Extracts from the votes and proceedings of the American Continental Congress,Source,Legislative Proceedings,,,
S020,Unkown work by Pufrendorf,Source,Enlightenment Text,,,
S021,Magna Carta,Source,Constitutional Document,,,
S022,"Unnamed charter, c. Regnal Year 17 Edward III",Source,Constitutional Document,,,
S023,"Message from the council and house of representatives of the Massachusetts Bay, 1753",Source,Legislative Proceedings,,,
S024,"Journal of the proceedings of the Congress held at Albany, in 1754",Source,Legislative Proceedings,,,
P004,A summary view of the rights of British America by Thomas Jefferson,Pamphlet,,1774,America,
S025,De Officiis by Cicero,Source,Classic Text,,,
S026,The Navigation Act (1660),Source,British Statute,,,
S027,Excise Act (1633),Source,British Statute,,,
S028,The Navigation Act (1673),Source,British Statute,,,"This citation may have been a typo. Jefferson cited 25. C. 2. c. 77, which does not exist. It is more likely that the intended citation was 25. C. 2. c. 7."
S029,The Navigation Act (1696),Source,British Statute,,,"Jefferson cited 8. W. M. c. 22, but Mary II had died so the correct citation is 8. W. c. 22."
S030,Statutes passed during  the 11th year of the reign of William III,Source,British Statute,,,"The citation, 11. W. 3., does not point to a specific act. "
S031,Naval Stores Act (1705),Source,British Statute,,,"This act was cited as ""4 Anne"" but likely refers to the Naval Stores Act as it fits with the theme of mercantilist restrictions that the other references in this note share. "
S032,The Molasses Act (1733),Source,British Statute,,,Likely 6 G. 2. c. 13 (the 6 is shared with previous citation)
S033,Hat Act (1732),Source,British Statute,,,
S034,The Iron Act (1750),Source,British Statute,,,
S035,Recovery of American Debts (1732),Source,British Statute,,,
S036,The Sugar Act (1764),Source,British Statute,,,
S037,The Stamp Act (1765),Source,British Statute,,,
S038,American Colonies Act/Declaratory Act (1766),Source,British Statute,,,
S039,The Townshend Acts (1767),Source,British Statute,,,
S040,"Boston Port Act (1774), first of the Intolerable Acts",Source,British Statute,,,
S041,"Administration of Justice Act (1774), one of the Intolerable Acts",Source,British Statute,,,
S042,"An Act for the better securing and preserving his Majesty's Dock Yards, Magazines, Ships, Ammunition, and Stores (1772)",Source,British Statute,,,
S043,The Charter of Maryland (1632),Source,Constitutional Document,,,
S044,"Carolina Charters (1663, 1665)",Source,Constitutional Document,,,
S045,Pennsylvania Charter to William Penn (1681),Source,Constitutional Document,,,
P005,"Some Fugitive Thoughts on a Letter Signed Freeman, Addressed to the Deputies, Assembled at The High Court of Congress in Philedelphia by Anonymous under the psuedonym A Back Settler",Pamphlet,,1774,America,
S046,Journal of the House of Commons,Source,Legislative Proceedings,,,
S047,"Sir Edward Cooke, parliamentary demate in 1628 ",Source,Legislative Proceedings,,,
S048,The Petition of Right,Source,Constitutional Document,,,
S049,English Bill of Rights,Source,Constitutional Document,,,
S050,"A Declaration from the Harmless and Innocent People of God, Called Quakers, Against All Sedition, Plotters, and Fighters in the World by George Fox and Others",Source,Religious Tract,,,
S051,Act of Settlement 1701,Source,British Statute,,,
S052,Blackstone's Commentaries on the Laws of England,Source,Legal Treatise,,,
S053,Doomsday Book,Source,Historical Records,,,
S054,Tenures Abolition Act 1660,Source,British Statute,,,
S055,Habeas Corpus Act of 1679,Source,British Statute,,,
S056,Charter of the Forest of 1217,Source,British Statute,,,
S057,unspecified work of Sir Edward Coke,Source,Legal Treatise,,,
S058," Notes from the Court of Common-Pleas, February Term 1773",Source,Legislative Proceedings,,,
S059,The Institutes of the Laws of England by Sir Edward Coke,Source,Legal Treatise,,,
S060,"Statute of Westminster I, 1275",Source,British Statute,,,
S061,"The Act of Tonnage and Poundage, 1660",Source,British Statute,,,
S062,Acts of Parliament related to the Act of Tonnage and Poundage ,Source,British Statute,,,
S063,An Act for preventing Frauds and regulating Abuses in His Majesties Customs,Source,British Statute,,,
S064,The Townshend Revenue Act,Source,British Statute,,,
S065,observations on Lord Ferrers's trial before the Lords ,Source,,,,
P006,"A Letter from Freeman of South-Carolina, to the Deputies of North-America, Assembled in the High Court of Congress at Philadelphia by William Henry Drayton",Pamphlet,,,,
S066,Attribution to Horace,Source,Classic Text,,,
S067,Political Discourses by David Hume,Source,Enlightenment Text,,,
S068,Unknown source regarding Rome and Cate,,,,,
P007,Considerations on the nature and the extent of the legislative authority of the British Parliament by James Wilson,Pamphlet,,1774,America,
S069,"A Dissertation Upon Parties: in Several Letters to Caleb D'Anvers, Esq., by Henry St John, First Viscount Bolingbroke ",Source,,,,
S070,Reports of Cases Argued and Determined in the High Court of Chancery…  by William Peere Williams,Source,Law Reports,,,
S071,Reports of Cases Argued and Adjudged in the Courts of King's Bench and Common Pleas… by Robert Raymond,Source,Law Reports,,,
S072,Corrupt Practices at Parliamentary Elections Act 1728,Source,British Statute,,,
S073,Meeting of Parliament Act 1694,Source,British Statute,,,
S074,A New Abridgement of the Law by Matthew Bacon,Source,Legal Treatise,,,
S075,Grey's Debates of the House of Commons,Source,Legislative Proceedings,,,
S076,"The Advancement of Learning, by Francis Bacon",Source,,,,
S077,"Modern Reports, or, Select Cases Adjudged in the Courts of Kings Bench, Chancery, Common Pleas, and Exchequer",Source,Law Reports,,,
S078,"The Reports of Sir Edward Coke, Kt. in English, in Thirteen Parts Compleat",Source,Law Reports,,,
S079,Calvin's Case (7 Coke Report 1a),Source,Law Reports,,,
S080,"To the Inhabitants of the Colony of Massachusetts-Bay, John Adams",Source,,,,
S081,Sale of Offices Act 1551,Source,British Statute,,,
S082,Reports of Cases Adjudged in the Court of King's Bench: with Some Special Cases in the Courts of Chancery... by William Salkeld,Source,Law Reports,,,
S083,"""Foster's Crown Law"" A Report of Some Proceedings on the Commission of Oyer and Terminer and Goal Delivery... Sir Michael Foster",Source,Legal Treatise,,,
S084,Poynings' Law (confirmation of English statutes),Source,British Statute,,,
P008,"A letter from a Virginian to the members of the Congress to be held at Philadelphia, on the first of September",Pamphlet,,1774,America,
S085,Tea Act 1773,Source,British Statute,,,
P009,"A friendly address to all reasonable Americans, on the subject of our political confusions: in which the necessary consequences of violently opposing the King's troops, and of a general non-importation are fairly stated",Pamphlet,,1774,America,
S086,"Unspecified work by an ""excellent English writer""",Source,,,,
S087,The Charter of the City of Albany 1686,Source,Constitutional Document,,,
S088,The Pennsylvania Charter 1681,Source,Constitutional Document,,,
S089,Massachusetts Charter ,Source,Constitutional Document,,,
S090,Quebec Act 1774,Source,British Statute,,,
P010,"The Justice and Policy of the Late Act of Parliament, for Making More Effectual Provision for the Government of the Province of Quebec, Asserted and Proved; and the Conduct of Administration Respecting That Province, Stated and Vindicated by William Knox",Pamphlet,,,,
P011,"A letter to the Earl of Chatham, on the Quebec bill",Pamphlet,,,,
S091,The Saints Everlasting Rest by Richard Baxter,Source,Spiritual Work,,,
S092,Unspecified work by Zachary Grey in response to Daniel Neal ,Source,,,,
S093,Issue of The New-York Mercury,Source,Newspaper,,,
S094,Suffolk Resolves,Source,Convention Document ,,,
S095,Treaty of Paris 1763,Source,"Treaties, Capitulations, and Diplomatic Instruments",,,
S096,The Capitulation of Montreal,Source,"Treaties, Capitulations, and Diplomatic Instruments",,,
S097,Rivington's New-York Gazetteer ,Source,Newspaper,,,
S098,New England's Memorial by Nathanial Morton,Source,,,,
S099,Book of Homilies ,Source,Religious Text,,,
S100,Book of Common Prayer,Source,Religious Text,,,
S101,"Memorial to the Inhabitants of the Britisth Colonies, passed by the Continental Congress",Source,Convention Document ,,,
S102,The Aeneid by Virgil,Source,Classic Text,,,
P012,"The other side of the question: or, A defence of the liberties of North-America. In answer to a late Friendly address to all reasonable Americans, on the subject of our political confusions by Phillip Livingston",Pamphlet,,1774,America,
S103,The Library of Histry by Diodorus Siculus,Source,Classic Text,,,
S104,King Lear by William Shakespeare,Source,Literary Work,,,
S105,The Elements by Euclid,Source,Classic Text,,,
P013,"A Letter From A Veteran, to the Officers of the Army Encamped at Boston by Robert Prescott",Pamphlet,,1774,America,
S106,The Rape of the Lock: Canto 2 by Alexander Pope,Source,Literary Work,,,
P014,"A True State of the Proceedings in the Parliament of Great Britain, and in the Province of Massachusetts Bay... by Arthur Lee",Pamphlet,,1774,Great Britain,
S107,Measure for Measure by William Shakespeare,Source,Literary Work,,,
S108,"Journals of the Continental Congress, 1774-1789",Source,Legislative Proceedings,,,
S109,Paradise Lost by John Milton,Source,Literary Work,,,
